mode,period,max_lag,threshold,n_edges,density
log_return,1,3,0.002848736351328554,443,0.5091954022988506
log_return,1,3,0.005697472702657108,378,0.43448275862068964
log_return,1,3,0.008546209053985662,329,0.3781609195402299
log_return,1,3,0.011394945405314216,278,0.3195402298850575
log_return,1,3,0.01424368175664277,235,0.27011494252873564
log_return,1,3,0.017092418107971324,207,0.23793103448275862
log_return,1,3,0.01994115445929988,180,0.20689655172413793
log_return,1,3,0.022789890810628433,150,0.1724137931034483
log_return,1,3,0.025638627161956987,113,0.12988505747126436
log_return,1,3,0.02848736351328554,83,0.09540229885057472
log_return,1,3,0.031336099864614095,62,0.07126436781609195
log_return,1,3,0.03418483621594265,47,0.054022988505747126
log_return,1,3,0.0370335725672712,38,0.04367816091954023
log_return,1,3,0.03988230891859976,29,0.03333333333333333
log_return,1,3,0.04273104526992831,23,0.026436781609195402
log_return,1,3,0.045579781621256865,18,0.020689655172413793
log_return,1,3,0.04842851797258542,14,0.016091954022988506
log_return,1,3,0.05127725432391397,8,0.009195402298850575
log_return,1,3,0.05412599067524253,6,0.006896551724137931
log_return,1,3,0.05697472702657108,3,0.0034482758620689655
log_return,1,3,0.059823463377899636,3,0.0034482758620689655
log_return,1,3,0.06267219972922819,1,0.0011494252873563218
log_return,1,3,0.06552093608055674,1,0.0011494252873563218
log_return,1,3,0.0683696724318853,0,0.0
log_return,2,1,0.0,439,0.5045977011494253
log_return,2,1,0.002848736351328554,397,0.45632183908045976
log_return,2,1,0.005697472702657108,351,0.40344827586206894
log_return,2,1,0.008546209053985662,312,0.3586206896551724
log_return,2,1,0.011394945405314216,276,0.31724137931034485
log_return,2,1,0.01424368175664277,229,0.2632183908045977
log_return,2,1,0.017092418107971324,203,0.23333333333333334
log_return,2,1,0.01994115445929988,166,0.19080459770114944
log_return,2,1,0.022789890810628433,141,0.16206896551724137
log_return,2,1,0.025638627161956987,117,0.13448275862068965
log_return,2,1,0.02848736351328554,96,0.1103448275862069
log_return,2,1,0.031336099864614095,77,0.08850574712643679
log_return,2,1,0.03418483621594265,66,0.07586206896551724
log_return,2,1,0.0370335725672712,50,0.05747126436781609
log_return,2,1,0.03988230891859976,41,0.047126436781609195
log_return,2,1,0.04273104526992831,28,0.03218390804597701
log_return,2,1,0.045579781621256865,25,0.028735632183908046
log_return,2,1,0.04842851797258542,20,0.022988505747126436
log_return,2,1,0.05127725432391397,14,0.016091954022988506
log_return,2,1,0.05412599067524253,12,0.013793103448275862
log_return,2,1,0.05697472702657108,9,0.010344827586206896
log_return,2,1,0.059823463377899636,8,0.009195402298850575
log_return,2,1,0.06267219972922819,6,0.006896551724137931
log_return,2,1,0.06552093608055674,3,0.0034482758620689655
log_return,2,1,0.0683696724318853,2,0.0022988505747126436
log_return,2,2,0.0,482,0.5540229885057472
log_return,2,2,0.002848736351328554,434,0.49885057471264366
log_return,2,2,0.005697472702657108,376,0.432183908045977
log_return,2,2,0.008546209053985662,320,0.367816091954023
log_return,2,2,0.011394945405314216,277,0.31839080459770114
log_return,2,2,0.01424368175664277,243,0.2793103448275862
log_return,2,2,0.017092418107971324,203,0.23333333333333334
log_return,2,2,0.01994115445929988,164,0.18850574712643678
log_return,2,2,0.022789890810628433,129,0.1482758620689655
log_return,2,2,0.025638627161956987,103,0.11839080459770115
log_return,2,2,0.02848736351328554,73,0.0839080459770115
log_return,2,2,0.031336099864614095,52,0.059770114942528735
log_return,2,2,0.03418483621594265,37,0.04252873563218391
log_return,2,2,0.0370335725672712,28,0.03218390804597701
log_return,2,2,0.03988230891859976,22,0.02528735632183908
log_return,2,2,0.04273104526992831,16,0.01839080459770115
log_return,2,2,0.045579781621256865,10,0.011494252873563218
log_return,2,2,0.04842851797258542,6,0.006896551724137931
log_return,2,2,0.05127725432391397,3,0.0034482758620689655
log_return,2,2,0.05412599067524253,2,0.0022988505747126436
log_return,2,2,0.05697472702657108,2,0.0022988505747126436
log_return,2,2,0.059823463377899636,2,0.0022988505747126436
log_return,2,2,0.06267219972922819,2,0.0022988505747126436
log_return,2,2,0.06552093608055674,2,0.0022988505747126436
log_return,2,2,0.0683696724318853,2,0.0022988505747126436
log_return,2,3,0.0,525,0.603448275862069
log_return,2,3,0.002848736351328554,479,0.5505747126436782
log_return,2,3,0.005697472702657108,420,0.4827586206896552
log_return,2,3,0.008546209053985662,357,0.4103448275862069
log_return,2,3,0.011394945405314216,318,0.36551724137931035
log_return,2,3,0.01424368175664277,272,0.31264367816091954
log_return,2,3,0.017092418107971324,232,0.26666666666666666
log_return,2,3,0.01994115445929988,186,0.21379310344827587
